Materialnummer,Kurztext,Einkaufsbestelltext
1,GT-Motor K77DRN112M4TFAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: K77 DRN112M4/TF/AL
Leistung [kW]: 4,000 kW
Antriebsmoment (ma x ): 1.550,00 Nm
Antriebsmoment (nenn): 1.040,00 Nm
N1 Antriebsdrehzahl: 1.464,00 1/min
N2 Abtriebsdrehzahl: 37,00 1/min
Getriebeübersetzung i: 40,040
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M1A
Baugröße: 112M (H=112 mm/Gehäuseausf.:M)
Isolierklasse: Iso-Kl.: F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
2,Keilriemen SPA 2500 LW Red Power,"Keilriemen
SPA 2.500 mm LW Red Power
Wirklänge ISO LW 2.500 mm
Innenlänge LI 2.455 mm
Außenlänge LA 2.518 mm"
3,"O-Ring 33,3 mm 90Sh FKM NBR","O-Ring
33,3 mm
90Sh
FKM NBR"
4,Lager 2208EKTN9C3 SKF,"Lager
2208EKTN9C3
SKF"
5,"Mutter M36x1,5 DIN 439-04 verzinkt.","Hexagonmutter niedrig
M30 x 1,5
DIN 439-04
verzinkt"
6,Lager NCF 2932 V SKF,"Zylinderrollenlager
NCF 2932 V
SKF"
7,Lager 7306 BE-2RZP SKF,"Schrägkugellager
7306 BE-2RZP
SKF"
8,"O-Ring 33,30 x 2,40 mm Viton FPM","O-Ring
33,30 x 2,40 mm
Viton FKM/FPM"
9,Servomotor AKM32E-ACCNC-00,"Servomotor
Hersteller: KOLLMORGEN
Typbezeichnung: AKM32E-ACCNC-00
Leistung [kW]: 0,100 kW
N1 Antriebsdrehzahl: 8.000,00 1/min
Antriebsmoment: 2,04 NM
Spannung [50Hz]: 400V
Schutzart: IP54-Staubablage/Spritzwasser"
10,PN-Zylinder ADN-25-25-I-P-A 536263 FESTO,"Kompaktzylinder
ADN-25-25-I-P-A
536263
FESTO"
11,Mutter M8 DIN6923 8.8 verz.,"Mutter
M8
DIN 6923
8.8
verzinkt"
12,Schraube M20x100 DIN 931 8.8 schwarz.,"Hexagonschraube mit Schaft
M20 x 100
DIN 931
8.8
schwarz"
13,GT-Motor FA47GDRN90S4TFAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: FA47/G DRN90S4/TF/AL
Leistung [kW]: 1,100 kW
Antriebsmoment (max): 450,00 Nm
Antriebsmoment (nenn): 79,00 Nm
N1 Antriebsdrehzahl: 1.455,00 1/min
N2 Abtriebsdrehzahl: 133,00 1/min
Getriebeübersetzung i: 10,970
Spannung [50Hz]: 220-230D/380-400Y
Bauform: M5
Baugröße: 90S (H=90mm/Gehäuseausf.:S)
Isolierklasse: Iso-Kl.: F (tmax=155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Fremdlüfter: Nein
Motor-Bremse: Nein
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
14,Lager 61907 2RZ SKF,"Rillenkugellager
61907 2RZ
SKF"
15,"Kettenrad B-2 1"" Z16 d=75mm","Kettenrad
B-2 1""
Z = 16
geb.75mm
DIN 8187"
16,Servomotor 1PH7133-7HF03-0BB3-ZNOYF,"Servomotor
Hersteller:                     Siemens
Typbezeichnung:                 1PH7133-7HF03-0BB3-ZNOYF
Leistung [kW]:                  13,500 kW
N1 Antriebsdrehzahl:            1.500,00 1/min
Bauform:                        B35
Isolierklasse:                  Iso-Kl.:F (tmax=155°C)
Schutzart:                      IP55-Staubablage/Strahlwasser"
17,"ORing 33,3x2x4mm NBR70 0009632319 LINDE","ORing
33,3 x 2 x 4 mm
NBR70
0009632319
LINDE"
18,Wellendichtring 35 x 62 x 8 BASL,"Wellendichtring
35 x 62 x 8
BASL"
19,GT-Motor KA97TR57DRN80MK4TFEK8RAL,"Getriebemotor
Hersteller: SEW
Typbezeichnung: KA97TR57DRN80MK4TFEK8RAL
Leistung [kW]: 0,550 kW
Antriebsmoment (ma x ): 4.300,00 Nm
Antriebsmoment (nenn): 2.460,00 Nm
N1 Antriebsdrehzahl: 1.435,00 1/min
N2 Abtriebsdrehzahl: 1,90 1/min
Getriebeübersetzung i: 743,000
Spannung [50Hz]: 220-24D/380-415Y
Bauform: M4B
Baugröße: 80M (H=80 mm/Gehäuseausf.:M)
Isolierklasse: Iso-Kl.: F (tma x =155°C)
Schutzart: IP55-Staubablage/Strahlwasser
Energieeffizienzklasse: IE3 Premium Efficiency
Motorvollschutz (Thermofühler): Ja"
20,Mutter M8 DIN 928 schw.,"Anschweißmutter
M8
DIN 928 schwarz"
21,Radialwellendichtring 35x62x7 BASL,"Radialwellendichtring
35x62x7
BASL"
22,Lager 2208EKTN9C3 SKF,"Lager
2208EKTN9C3
SKF"
23,Radialwellendichtring 35x62x8 BAUMSL Viton,"Radialwellendichtring
35x62x8
BAUMSL Viton"
24,Lager 61907 2RZ SKF,"Rillenkugellager
61907 2RZ
SKF"
25,"O-Ring 330,30 x 5,70 mm FPM 70 Shore A","O-Ring
330,30 х 5,70 mm
WST: FPM
70° Shore A"
26,Lager 23130CCK SKF,"Lager
23130CCK
SKF"
27,"Kette 08A-1 12,70 1/2""x7,85mm DIN 8188","Einfach Rollenkette
08A-1
Teilung: 12,70mm (1/2"")
Innere Breite: 7,85mm
DIN 8188
40R5MT_HITACHI
L85AANSI40_IWIS"
28,"Kette 081 12,70 1/2""x3,30mm DIN 8187","Rollenkette
081
Teilung: 12,70mm (1/2"")
Innere Breite: 3,30mm
DIN 8187"
29,Servomotor 30PM068,"Servomotor
Hersteller SIBONI
Typbezeichnung 30PM068
Leistung [kW] 45,000 W
N1 Antriebsdrehzahl 1.950,00 1/min
Antriebsmoment 0,22 NM
Spannung [50Hz] 24
Isolierklasse F
Schutzart IP44"
30,Kettenrad 3-518-11-0150 HOMAG,"Kettenrad gehärtet
10B-1
Z = 14
D35+K 1:12
3-518-11-0150
HOMAG"
31,PN-Zylinder ADN-25-40-A-P-A 536257 FESTO,"Kompaktzylinder
ADN-25-40-A-P-A
536257
FESTO"
32,Servomotor AM80520J210000,"Servomotor
Hersteller BECKHOFF
Typbezeichnung AM8052-0J21-0000
Leistung 2,890 kW
N1 Antriebsdrehzahl 4.000,00 1/min
Antriebsmoment 8,20 NM
Spannung 400V
Strom 6,3 A
Isolierklasse F
Schutzart IP54
Motor-Bremse 24V DC 18W
Thermo KTY Ja
Art.Nr.: 138325"
33,"O-Ring 33,50 x 2,00 mm N 01095200 KSB","O-Ring
33,5 x 2,0 mm
N
01095200
KSB"
34,Schraube M6x50 DIN 835 8.8 verzinkt.,"Stiftschraube mit Einschraubende
M6 x 50
DIN 835
8.8
verzinkt"
35,Schraube M20x260 DIN931 8.8 verz.,"Sechskantschraube mit Schaft
M20x260
DIN 931
8.8
verzinkt"
36,Servomotor 1FT60616AF713TA0,"Servomotor
Hersteller Siemens
Typenbezeichnung 1FT6061-6AF71-3TA0
Motorleistung 1,100 kW
Antriebsdrehzahl 3,000,00 1/min
Spannung 400V
Bauform B5
Isolierklasse F
Schutzart IP64
Leistungs-Signalstecker Axial BS
Resolver 2-polig P=1"
37,GT-Motor FA77DV100L4,"Getriebemotor
Hersteller SEW
Typbezeichnung FA77DV100L4
Motorleistung 3,000 kW
Antriebsdrehzahl N1 1.400,00 1/min
Abtr.Drehzahl N2 37,00 1/min
Spannung 230D/400Y
Bauform M1
Isolierklasse F
Schutzart IP54"
