Materialnummer,Kurztext,Einkaufsbestelltext
108511,"O-Ring 34,00x3,50mm 70 Shore","O-Ring
34,00 x 3,50 mm
70° Shore"
135816,Mutter M36x2 DIN934-8 Feinge.schw,"Sechskantmutter
M36X2 DIN 934-8 Feinge.schw"
109464,"O-Ring 34,00x3,00mm 70 Shore","O-Ring
34,00 x 3,00 mm
70° Shore"
113592,Wellendichtring 35x62x12 BASL,"Wellendichtring
35x62x12
BASL"
113596,Wellendichtring 35x62x5 BASL,"Wellendichtring
35 x 62 x 5mm
BASL"
123911,Mutter M36 DIN934-8 verz.,"Sechskantmutter
M36 DIN 934-8 verz."
516718,"O-Ring 33,30x2,40mm Viton FPM","O-Ring
33,30x2,40mm
Viton FKM/FPM"
105755,Schraube M12x30 DIN933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M12x30
5.6
verzinkt"
105772,Schraube M6x25 DIN933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M6x25
5.6
verzinkt"
106064,Schraube M10x120 DIN603 4.6 verz.,"Flachrundschraube mit Vierkantansatz
DIN 603
M10x120
4.6
verzinkt"
106075,Schraube 12x180 DIN571 4.6 verz.,"Sechskant - Holzschraube
DIN 571
12x180
4.6
galvanisch verzinkt"
105767,Schraube M6x30 DIN933 5.6 verz.,"Sechskantschraube mit Gewinde bis Kopf
DIN 933
M6x30
5.6
verzinkt"
106060,Schraube M20x260 DIN931 8.8 verz.,"Sechskantschraube mit Schaft
M20x260
DIN 931
8.8
verzinkt"
165212,Servomotor 373E45402022050FG,"Servomotor
Hersteller                   BAELZ
Typbezeichnung               373.220V
                             373.E45-40-20-220-50-Fg
Schubkraft                   4.000,00 N
Geschwindigkeit:             20,00 mm/min
Schutzart                    IP65
Bedienung                    Manuell
Potentiometer                200 Ohm
Ventil Hub                   12mm
Art.Nr.:                     00.373-E40-40-20-001"
380433,Mutter M36 DIN982-8 verz.,"Sechskantmutter mit Polyamidklemmteil
hohe Form
M36
DIN 982-8
verzinkt"
1536696,Servomotor 30PM068,"Servomotor
Hersteller                     SIBONI
Typbezeichnung                 30PM068
Leistung [kW]                  45,000 W
N1 Antriebsdrehzahl            1.950,00 1/min
Antriebsmoment                 0,22 NM
Spannung [50Hz]                24
Isolierklasse                  F
Schutzart                      IP44"
790947,"Kettenrad B-2 1"" Z16 d=50mm","Kettenrad
B-2 1"" Z16 geb.50mm
DIN 8187"
790948,"Kettenrad B-2 1"" Z16 d=75mm","Kettenrad
B-2 1""
Z = 16
geb.75mm
DIN 8187"
790955,"Kettenrad B-1 5/8"" Z13 K 9183-4.2.3","Kettenrad
B-1 5/8"" Z13
K 9183-4.2.3
DIN 8187"
1602710,"O-Ring 34,00x3,00mm NBR 90 Shore A","O-Ring
34,00 x 3,00 mm
WST: NBR
90° Shore A"
1188016,Servomotor AM80520J210000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8052-0J21-0000
Leistung                       2,890 kW
N1 Antriebsdrehzahl            4.000,00 1/min
Antriebsmoment                 8,20 NM
Spannung                       400V
Strom                          6,3 A
Isolierklasse                  F
Schutzart                      IP54
Motor-Bremse                   24V DC 18W
Thermo KTY                     Ja
Art.Nr.:                       138325"
1188127,Servomotor AM80330E210000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8033-0E21-0000
Leistung                       0,940 kW
N1 Antriebsdrehzahl            3.000,00 1/min
Antriebsmoment                 3,20 Nm
Spannung                       400V
Strom                          2,1 A
Isolierklasse                  F
Schutzart                      IP54
Motor-Bremse                   24V DC 12W
Thermo KTY                     Ja
Art.Nr.:                       139774"
1194011,"O-Ring 33,0x5,0mm Viton FPM 80 Shore","O-Ring
33,00 x 5,00mm
WST: Viton FPM
80° Shore"
831460,Servomotor AB8 AM40 SCHIEBEL,"Servomotor
Hersteller                     SCHIEBEL
Typbezeichnung                 AB8 AM40 2WER 2WEL H AK40 K2
Motorleistung                  0,750 kW
Antriebsdrehzahl N1            40,00 1/min
Antriebsmoment                 90,00 NM"
1557024,Schraube M6x30 DIN835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 30
DIN 835
8.8
verzinkt"
1557333,Schraube M6x35 DIN835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 35
DIN 835
8.8
verzinkt"
1557420,Schraube M6x50 DIN835 8.8 verz.,"Stiftschraube mit Einschraubende
M6 x 50
DIN 835
8.8
verzinkt"
1525379,Servomotor AM8052-1J21-9000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8052-1J21-9000
N1 Antriebsdrehzahl            4,000.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10779584"
1525406,Servomotor AM8043-0H20-0000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8043-0H20-0000
N1 Antriebsdrehzahl            5,000.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10802980"
1525446,Servomotor AM8051-1G21-9000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8051-1G21-9000
N1 Antriebsdrehzahl            5,000.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10802210"
1525455,Servomotor AM8043-0E20-0000,"Servomotor
Hersteller                     BECKHOFF
Typbezeichnung                 AM8043-0E20-0000
N1 Antriebsdrehzahl            2,500.00 1/min
Spannung                       400V
Bauform                        B5
Isolierklasse                  F
Schutzart                      IP54
Art.Nr.:                       10765906"
1552839,PN-Schlauch PUN-8-BL-400-HA FESTO,"Kunststoffschlauch
PUN-8-BL-400-HA
553573
FESTO"
1559995,Schraube M20x100 DIN931 8.8 schw.,"Sechskantschraube mit Schaft
M20 x 100
DIN 931
8.8
schwarz"
1521517,Modul 3SU1400-1AA10-3HA0 SIEMENS,"Kontaktmodul
3SU1400-1AA10-3HA0
SIEMENS"
1384853,Servomotor 1FK71055AY811YY3Z,"Servomotor
Hersteller                     KUKA
Typbezeichnung                 1FK7105-5AY81-1YY3-Z
Leistung                       4,300 kW
N1 Antriebsdrehzahl            3.000,00 1/min
Drehzahl max.                  5.000,00 1/min
Spannung                       203 V
Nennstrom                      15,5 A
Isolierklasse                  F
Schutzart                      IP65
Art.Nr.:                       131491"
1384893,Servomotor 1FK71035AF811YY3Z,"Servomotor
Hersteller                     KUKA
Typbezeichnung                 1FK7103-5AF81 1YY3-Z
Leistung                       6,900 kW
N1 Antriebsdrehzahl            3.000 1/min
Drehzahl max.                  5.000 1/min
Spannung                       156 V
Nennstrom                      17 A
Isolierklasse                  F
Schutzart                      IP65
Art.Nr.:                       131492"
1412376,Servomotor 1FK71035AY711SY3Z,"Servomotor
Hersteller                     KUKA
Typbezeichnung                 1FK7103-5AY71-1SY3-Z
Leistung                       6,600 kW
N1 Antriebsdrehzahl            3.000,00 1/min
Spannung                       209V
Isolierklasse                  F
Schutzart                      IP65"
1357597,O-Ring 330x7mm 70 Shore 15610.0019 JAUDT,"O-Ring
330,00 x 7,00mm
70° Shore
15610.0019
JAUDT"
1679593,Servomotor 5/2.720.001.002,"Servomotor
Herstellerteilenummer:          XXX_ESITRON
Hersteller:                     ESITRON
Typbezeichnung:                 5/2.720.001.002
N1 Antriebsdrehzahl:            3.000,00 1/min
Antriebsmoment:                 0,50 NM
Spannung:                       48V DC"
1731540,"O-Ring 330,30x5,70mm FPM 70 Shore A","O-Ring
330,30 х 5,70 mm
WST: FPM
70° Shore A"
1348000,Relais 3RU2126-4DB1 20-25A SIEMENS,"Überlastrelais
3RU2126-4DB1
20-25A
SIEMENS"
1610187,"Getriebe  R47A i=12,54","Getriebe
Hersteller:                     SEW
Typbezeichnung:                 R87/A
N1 Antriebsdrehzahl:            1.400,00 1/min
N2 Abtriebsdrehzahl:            73,00 1/min
Drehmoment:                     520,00 NM
Getriebeübersetzung i:          19,100
Bauform:                        M1
Getriebeausführung:             Stirnradgetriebe"
1619853,Mutter M36x2 DIN439-04 verz.,"Sechskantmutter niedrig
M36 x 2
DIN 439-04
verzinkt"
1492093,Mutter M36 DIN982-8 A2,"Sechskantmutter mit Klemmteil
hohe Form
M36
DIN 982-8
A2
Edelstahl"
790444,"Kettenrad B-3 1 1/2"" Z20 vorg.gehae.","Kettenrad B-3 1 1/2"" Z20
Vorgebohrt gehaertet"
682544,"Kettenrad B-2 1 1/4"" Z25 TLB 3030","Kettenraeder fuer Zweifach-Rollenkette
1 1/4"" Z25 fuer TL 3030"
320240,Wellendichtring 35x62x10 NBR/VA B,"Wellendichtring
35x62x10
Form B
NBR/VA
DOMSEL"
791463,Kettenrad 12B-1 Z13 d=18 m.Nut gehae.,"Kettenrad gehärtet
12B-1
Z = 13
D = 18mm
mit Nut
M6"
791945,"Kettenrad B-1 1 1/2"" Z34 TLB 3030 gehae.","Kettenrad einfach
1 1/2"" Z34 TL3030 vorbereitet
Nabenüberstand 25/27
Zahnkranz gehärtet"
793260,Kettenrad KR16B-1 Z20 G-35/60SK,"Kettenrad KR16B-1 Z=20G-35/60SK
1"" x 17,02 x 15,88mm
DIN 8187, z=20
passend zur Einfach-Rollenkette DIN 8187,
Typ 16B-1, 20 Zähne,
mit eingefrästen Schmutzkerben,
Nabenlänge 45 mm, symetrisch,
Nabendurchmesser 85 mm, Bohrungsdurchmesser 35 mm H7
15mm tief, Bohrungsdurchmesser 60 mm H7,
30 mm tief für Ringspannelement 3560, einteilig,
Zähne gehärtet
FB KETTEN"
949599,"O-Ring 33,05x1,78mm NBR70 Shore","O-Ring
33,05 x 1,78
70 Shore
NBR"
